tconst,watched,priority,netflix,prime
tt0455538,1,0,,
tt0455944,1,0,,
tt0457430,0,0,,
tt0458339,1,0,,
tt0462335,1,0,,
tt0462538,1,0,,
tt0465602,1,0,,
tt0468569,1,0,,
tt0469494,1,0,,
tt0472399,1,0,,
tt0473075,1,0,,
tt0476735,0,0,,
tt0477347,1,0,,
tt0477348,0,0,,
tt0479884,1,0,,
tt0480249,1,0,,
tt0482571,1,0,,
tt0488120,1,0,,
tt0489099,1,0,,
tt0493430,1,0,,
tt0496806,1,0,,
tt0499549,1,0,,
tt0780504,1,0,,
tt0780536,0,0,1,0
tt0790636,1,0,,
tt0790724,1,0,,
tt0790736,1,0,,
tt0795368,1,0,,
tt0800325,1,0,1,
tt0800369,1,0,,
tt0808151,1,0,,
tt0808506,1,0,,
tt0815220,1,0,,
tt0816692,1,0,,
tt0829482,1,0,,
tt0837562,1,0,,
tt0839995,1,0,,
tt0848228,1,0,,
tt0862467,1,0,,
tt0884328,1,0,,
tt0887883,1,0,,
tt0889583,1,0,,
tt0903624,1,0,,
tt0910970,1,0,,
tt0918940,1,0,,
tt0942385,1,0,,
tt0960144,1,0,,
tt0963178,1,0,1,1
tt0988045,1,0,,
tt0993840,0,0,1,0
tt0993846,1,0,,
tt10071238,0,0,0,0
tt10095582,1,0,,
tt10128846,1,0,,
tt1014763,0,0,,
tt1016150,1,0,,
tt1017460,1,0,,
tt10199640,0,0,0,0
tt10228168,0,0,0,0
tt1025100,0,0,0,0
tt10260692,0,0,0,0
tt10288566,1,0,,
tt10293406,1,0,1,
tt10298840,0,0,0,0
tt10310140,1,0,,
tt1034314,1,0,,
tt10360862,0,0,,
tt10366206,1,0,,
tt10370710,1,0,,
tt10370812,0,0,,
tt1037705,1,0,,
tt10380900,0,0,0,0
tt10399902,0,0,,
tt10477558,1,0,,
tt10483152,0,1,,
tt1049413,1,0,,
tt10521092,1,0,1,
tt1055369,1,0,,
tt1060277,1,0,,
tt10612922,0,0,0,1
tt10618286,0,1,,
tt10633456,0,0,0,0
